h64|1385|1.2523700363652626E8|0.0
h52|90|1.2150819048581877E8|0.0
h31|815|1.516753315413165E8|0.0
h52|1260|1.1778073871680167E8|0.0
h8|340|1.6144384633808178E8|0.0
h8|155|1.215839897086326E8|0.0
h31|1120|1.6526675488045228E8|0.0
h8|730|1.301029828205811E8|0.0
h8|50|5.627058748638772E7|0.0
h64|770|1.3128993488603039E8|0.0
h64|585|1.0087431742574656E8|0.0
h52|825|1.6443130493148988E8|0.0
h31|425|1.4345555081476697E8|0.0
h8|1255|1.1399599861417907E8|0.0
h64|380|1.3317450622181043E8|0.0
h64|975|1.438344143446242E8|0.0
h8|935|1.4488953261596832E8|0.0
h31|610|1.108359311651747E8|0.0
h8|1050|1.5060671098817357E8|0.0
h52|620|1.0761525277247459E8|0.0
h8|545|1.417678806354715E8|0.0
h64|1180|1.5952673756552488E8|0.0
h52|1075|1.4196673359240648E8|0.0
h52|230|9.251016620486332E7|0.0
h64|195|7.933233451356101E7|0.0
h31|220|9.331981663190912E7|0.0
h31|1325|1.0772936111184365E8|0.0
h52|435|1.549726780150872E8|0.0
h52|1120|1.588835923003223E8|0.0
h8|790|1.1933185568259579E8|0.0
h64|835|1.6417086470808244E8|0.0
h31|670|1.1877527903103824E8|0.0
h8|1115|1.5965051406146884E8|0.0
h31|1180|1.91822622944762E8|0.0
h52|1325|1.124650864386726E8|0.0
h64|1245|1.2755368202173264E8|0.0
h8|405|1.4600842024628362E8|268.0
h52|885|1.522544571094499E8|0.0
h31|485|1.401745277660956E8|0.0
h8|995|1.2920349707373688E8|0.0
h31|280|8.457496599585699E7|0.0
h52|290|1.2733157110043325E8|0.0
h64|445|1.4589443237173834E8|0.0
h64|630|1.1279839412607652E8|0.0
h31|10|8.47864167002005E7|0.0
h52|495|1.4275126681941468E8|0.0
h31|1385|1.3570261424039477E8|0.0
h64|1430|1.0148627045821543E8|0.0
h64|1040|1.1983669309685871E8|0.0
h52|680|1.2519346777295671E8|0.0
h64|240|8.197698948655453E7|0.0
h8|200|7.768100488484116E7|0.0
h31|875|1.487474736632478E8|0.0
h8|1300|1.1355694789390782E8|0.0
h31|685|1.2051366757001968E8|0.0
